Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-01-02,1794.52,1811.64,1786.7,1791.47,5343204
2023-01-03,1794.13,1835.15,1791.98,1824.82,22121560
2023-01-04,1826.17,1856.63,1824.74,1855.05,19715380
2023-01-05,1851.86,1887.05,1843.35,1856.05,28214946
2023-01-09,1873.58,1912.84,1873.58,1912.47,33642083
2023-01-10,1904.63,1940.96,1890.53,1937.98,25039050
2023-01-11,1936.39,1955.44,1912.55,1914.74,25924632
2023-01-12,1919.28,1950.83,1919.28,1930.79,32879763
2023-01-13,1932.38,1939.83,1910.13,1923.44,18128731
2023-01-16,1924.89,1944.2,1901.5,1933.08,18386777
2023-01-17,1928.12,1932.16,1898.34,1904.51,19449736
2023-01-18,1906.99,1928.89,1894.82,1913.25,33787784
2023-01-19,1900.37,1903.17,1869.14,1889.84,31488410
2023-01-20,1895.41,1901.03,1879.51,1892.32,21735938
2023-01-23,1899.2,1928.67,1899.2,1923.15,18780276
2023-01-24,1928.95,1945.78,1912.85,1918.6,18021838
2023-01-25,1906.22,1906.22,1879.52,1886.24,20432082
2023-01-26,1900.83,1920.18,1892.13,1911.61,16709511
2023-01-27,1916.61,1925.94,1909.33,1911.5,16290933
2023-01-30,1909.48,1909.48,1882.38,1889.82,15589284
2023-01-31,1886.96,1905.89,1876.42,1902.25,24133015
2023-02-01,1903.59,1911.39,1871.93,1871.93,22199674
2023-02-02,1886.33,1919.26,1882.56,1903.79,26007892
2023-02-03,1903.48,1917.69,1896.18,1906.13,18912038
2023-02-06,1902.31,1902.31,1863.26,1864.76,15983401
2023-02-07,1869.42,1877.28,1858.79,1870.87,14142774
2023-02-08,1882.32,1898.52,1882.32,1886.68,13396896
2023-02-09,1892.88,1912.32,1889.24,1896.24,12167375
2023-02-10,1891.84,1891.84,1838.33,1848.04,19717621
2023-02-13,1855.31,1863.95,1837.88,1853.29,13482430
2023-02-14,1858.47,1868.44,1841.76,1852.67,12571402
2023-02-15,1850.59,1871.47,1844.73,1870.03,11203817
2023-02-16,1872.93,1883.67,1841.85,1865.51,18647941
2023-02-17,1859.27,1867.81,1846.46,1859.26,14925672
2023-02-20,1860.87,1863.76,1842.43,1849.48,9560418
2023-02-21,1847.82,1847.82,1813.26,1825.89,14625476
2023-02-22,1822.56,1823.79,1786.67,1796.87,17929916
2023-02-23,1797.8,1826.45,1797.8,1824.76,13122671
2023-02-24,1828.33,1832.76,1802.1,1807.31,11536841
2023-02-27,1810.71,1828.27,1806.5,1820.79,8394196
2023-02-28,1821.3,1847.94,1810.98,1847.94,27049126
2023-03-01,1855.26,1868.54,1845.77,1856.22,16207612
2023-03-02,1850.34,1850.34,1813.37,1817.77,16033310
2023-03-03,1821.93,1841.85,1820.13,1841.85,12693089
2023-03-06,1849.05,1878.93,1849.05,1873.63,13145268
2023-03-07,1870.17,1883.31,1853.4,1853.4,12943645
2023-03-08,1853.32,1864.49,1842.48,1860.83,12133062
2023-03-09,1859.12,1859.12,1835.94,1835.94,10603394
2023-03-10,1820.21,1820.21,1786.18,1799.58,16072659
2023-03-13,1805.3,1814.07,1733.83,1753.3,22597089
2023-03-14,1752.13,1769.37,1737.77,1755.3,18607938
2023-03-15,1761.1,1766.16,1702.2,1707.42,20763488
2023-03-16,1718.65,1727.07,1669.53,1706.55,26682158
2023-03-17,1716.42,1730.29,1671.67,1678.16,37077467
2023-03-20,1671.55,1689.36,1626.01,1686.56,21357470
2023-03-21,1694.95,1724.01,1694.95,1719.16,23349958
2023-03-22,1721.09,1732.74,1704.93,1707.29,16424086
2023-03-23,1706.81,1714.42,1680.9,1705.91,12509380
2023-03-24,1700.07,1700.07,1661.51,1670.18,16319241
2023-03-27,1684.13,1695.07,1665.93,1686.96,10210972
2023-03-28,1694.46,1712.77,1686.26,1694.12,14047878
2023-03-29,1701.93,1712.3,1685.64,1709.39,16053905
2023-03-30,1715.56,1764.19,1715.56,1763.29,26179385
2023-03-31,1768.95,1776.97,1754.07,1758.56,18837644
2023-04-03,1764.92,1795.3,1764.92,1775.99,13986078
2023-04-04,1785.64,1797.89,1772.43,1773.53,10508534
2023-04-05,1772.8,1776.32,1752.7,1756.95,12691426
2023-04-06,1759.34,1766,1749,1754.24,7868005
2023-04-11,1765.72,1789.07,1758.63,1783.31,16692528
2023-04-12,1785.83,1820.15,1773.58,1816.28,20564852
2023-04-13,1814.17,1846.34,1808.35,1840.77,22267916
2023-04-14,1846.46,1865.17,1844.08,1854.27,16398458
2023-04-17,1861.54,1869.58,1854.76,1861.85,14466537
2023-04-18,1863.8,1910.96,1859.82,1896.92,16395745
2023-04-19,1893.31,1901.65,1871.52,1896.87,13705715
2023-04-20,1898.29,1926.26,1896.15,1911.19,17835599
2023-04-21,1903.8,1903.8,1882.76,1900.63,13887716
2023-04-24,1897.12,1918.6,1883.77,1910.52,10306117
2023-04-25,1907.98,1911.87,1887.85,1890.69,13672862
2023-04-26,1891.3,1902.64,1870.09,1888.61,16637312
2023-04-27,1893.04,1951.53,1893.04,1948.07,15197850
2023-04-28,1953.29,1954.79,1917.31,1923.09,17947979
2023-05-02,1921.51,1953.64,1919.23,1919.24,15269078
2023-05-04,1920.08,1933.14,1879.78,1884.32,19404304
2023-05-05,1890.37,1914.65,1885.44,1912.37,12427320
2023-05-08,1918.18,1936.58,1913.67,1922.08,11518067
2023-05-09,1919.31,1920.79,1902.81,1919.92,11248169
2023-05-10,1926.84,1954.53,1912.32,1931.94,19719506
2023-05-11,1935.51,1944.56,1914.17,1918.71,17612233
2023-05-12,1923.98,1950.54,1917.43,1939.03,16565256
2023-05-15,1949.06,1958.76,1932.34,1940.63,16514994
2023-05-16,1937.44,1960.63,1931.65,1948.83,12594652
2023-05-17,1945.87,1945.95,1928.07,1933.08,14540135
2023-05-18,1942.87,1954.05,1933.12,1939.9,14148665
2023-05-19,1946.35,1992.39,1946.35,1992.31,20862580
2023-05-22,1990.44,2012.35,1983.44,2004.72,16607353
2023-05-23,2002.96,2026.29,2000.68,2004.06,13378560
2023-05-24,1998.74,1998.74,1956.18,1958.63,16741264
2023-05-25,1961.54,1965.93,1936.77,1941.16,17235259
2023-05-26,1943.86,1986.26,1941.93,1984.12,16307890
2023-05-29,1986.48,1995.58,1976.35,1980.39,7304767
2023-05-30,1978.78,1978.78,1943.99,1946.38,15448251
2023-05-31,1934.41,1934.41,1890.03,1894.48,52156170
2023-06-01,1902.02,1949.5,1902.02,1946.21,14941664
2023-06-02,1959.23,2018.09,1959.23,2018.09,19817090
2023-06-05,2019.7,2053.48,2010.92,2020.07,15886416
2023-06-06,2017.83,2060.37,2016.18,2053.44,25672961
2023-06-07,2052.54,2055.49,2027.06,2036.31,16027064
2023-06-09,2046.14,2062.57,2041.14,2050.99,16233755
2023-06-12,2051.3,2069.41,2041.18,2044.2,16241418
2023-06-13,2050.61,2059.91,2022.49,2024.98,28701751
